5.18;33.411;2328.75;65200;65100;65000;РЯЗАНЬ;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6.02;
4.50;33.522;2353.24;65700;65600;65500;САМАРА;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6.04;
3.37;36.075;2550.50;66200;66100;66000;САРАТОВ;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6.5;
9.47;32.745;2167.72;63200;63100;63000;СТАРЫЙ ОСКОЛ;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;5.9;
3.12;33.522;2403.53;67200;67100;67000;ТИТАРОВКА;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6.04;
2.34;33.466;2332.62;65200;65100;65000;ТУЛА_ПЛЕХАНОВО;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6.03;
3.94;33.300;2271.06;63200;63100;63000;УГЛИ;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6;
0.33;35.400;2485.08;65700;65600;65500;УЛЬЯНОВСК;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6;
5.02;34.069;2374.64;65700;65600;65500;ЧЕБОКСАРЫ;Круг Ст40Х;30мм.;;ГОСТ2590,4543-2016;Круг;6.03;
4.27;2891.351;381947.49;132100;132000;131900;ЛОБНЯ;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;4.88;
6.07;2766.928;361360.84;130600;130500;130400;НИЖНИЙ;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;4.67;
2.06;2008.541;272358.17;135600;135500;135400;ПИТЕР_ФОРНОСОВО;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;3.39;
9.67;2749.154;368661.50;134100;134000;133900;РОСТОВ;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;4.64;
2.72;2772.853;370453.19;133600;133500;133400;САМАРА;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;4.68;
1.58;1256.079;164923.15;131300;131200;131000;СТАРЫЙ ОСКОЛ;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;2.12;
9.05;3021.699;406720.69;134600;134500;134400;ТИТАРОВКА;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;5.1;
10.70;2832.102;374120.70;132100;132000;131900;УГЛИ;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;4.78;
2.24;2284.416;306340.19;134100;134000;133900;УЛЬЯНОВСК;Круг Ст45;310мм.;3ГП;ТУ14-1-2118-98 ГОСТ1050-88 3ГП;Круг;3.84;
1.33;304.907;20032.40;64200;64100;64000;ВОРОНЕЖ;Круг Ст3;95мм;;ГОСТ2590,535/ТУ14-1-5228-93;Круг;5.48;
5.48;2745.807;376724.72;137200;137100;137000;ВОЛГОГРАД;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;4.35;
1.62;1622.235;225815.17;139200;139100;139000;ВОРОНЕЖ;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;2.57;
2.06;2777.368;383832.26;138200;138100;138000;ИЖЕВСК;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;4.4;
4.95;2638.500;367279.14;139200;139100;139000;ПИТЕР_ФОРНОСОВО;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;4.18;
5.40;2905.350;398614.09;137200;137100;137000;РОСТОВ;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;4.58;
5.05;2581.690;354207.84;137200;137100;137000;САМАРА;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;4.09;
4.54;2714.246;380537.29;140200;140100;140000;САРАТОВ;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;4.3;
1.80;1092.011;149823.85;137200;137100;137000;УГЛИ;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;1.73;
7.58;2678.832;375572.25;140200;140100;140000;УЛЬЯНОВСК;Круг Ст09Г2С;320мм;3гп;ГОСТ19281-2014, ТС132-108-2023;Круг;4.24;
39.18;336.622;22957.62;67200;67100;67000;ЧЕЛНЫ;Круг Ст20Х;95мм;;ГОСТ2590,4543/ТУ14-1-5228-93;Круг;6.05;
3.05;335.509;23384.99;68200;68100;68000;УЛЬЯНОВСК;Круг Ст20Х;95мм;;ГОСТ2590,4543/ТУ14-1-5228-93;Круг;6.03;
8.85;283.764;19778.35;67200;67100;67000;УГЛИ;Круг Ст20Х;95мм;;ГОСТ2590,4543/ТУ14-1-5228-93;Круг;5.1;
9.91;322.712;22008.96;67200;67100;67000;СТАРЫЙ ОСКОЛ;Круг Ст20Х;95мм;;ГОСТ2590,4543/ТУ14-1-5228-93;Круг;5.8;
3.09;2766.921;371044.16;134100;134000;133900;БЕЛГОРОД_КРЕЙДА;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;4.36;
7.34;2750.728;363371.20;132100;132000;131900;ВОЛГОГРАД;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;4.31;
1.76;1407.621;188058.11;133600;133500;133400;ВОРОНЕЖ;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;2.23;
4.74;2714.246;366694.63;135100;135000;134900;ИЖЕВСК;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;4.3;
5.39;2638.500;348545.80;132100;132000;131900;КАЗАНЬ;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;4.18;
6.12;2729.001;368687.99;135100;135000;134900;КИРОВ;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;4.34;
10.81;2796.998;369483.45;132100;132000;131900;ЛОБНЯ;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;4.42;
0.33;321.922;43652.65;134100;134000;133900;ПЕНЗА;Круг Ст20;320мм.;;ТУ14-1-2118-98 ГОСТ1050-88 ЗГП;Круг;0.51;
5.79;322.712;25123.13;76850;76850;76850;СТАРЫЙ ОСКОЛ;Круг ст30ХГСА;95мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;5.8;
8.31;336.622;26724.42;77890;77890;77890;САМАРА;Круг ст30ХГСА;95мм;;ГОСТ 2590-2006,4543-2016 2ГП;Круг;6.05;
2.70;2699.999;378539.80;140200;140100;140000;БЕЛГОРОД_КРЕЙДА;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.59;
5.85;2826.187;386339.74;136700;136600;136500;ВОРОНЕЖ;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.77;
13.80;2790.637;381480.12;136700;136600;136500;ИЖЕВСК;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.71;
4.53;2781.216;380192.23;136700;136600;136500;КАЗАНЬ;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.64;
2.17;2168.521;297521.04;137200;137100;137000;КАЛУГА;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;3.66;
4.41;2684.002;370929.15;138200;138100;138000;КИРОВ;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.59;
8.34;2731.388;369283.67;135200;135100;135000;ЛОБНЯ;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.61;
5.68;2814.337;386127.04;137200;137100;137000;ПЕНЗА;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.75;
0.51;533.243;74760.64;139200;139100;139000;ПИТЕР_ФОРНОСОВО;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;0.9;
4.66;2642.514;362552.96;137200;137100;137000;РОСТОВ;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.46;
7.49;2864.832;391622.58;136700;136600;136500;САМАРА;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.74;
6.59;2843.962;391613.51;137700;137600;137500;ТИТАРОВКА;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.8;
9.13;2826.187;382100.46;135200;135100;135000;УГЛИ;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;4.77;
1.56;1563.936;213790.05;136700;136600;136500;УЛЬЯНОВСК;Круг Ст40Х;310мм;3гп;ГОСТ4543-2016, ТУ14-1-2118-98;Круг;2.64;
